localtime,time,symbol,signal,signal_sim,SameFlag
09:41:43.344060808,09:41:43.000000000,sh603988,9.73799,10.73799,0
09:41:46.345904719,09:41:46.000000000,sh603988,7.99414,8.99414,0
09:41:49.338353145,09:41:49.000000000,sh603988,8.67217,9.67217,0
09:41:52.950895489,09:41:52.000000000,sh603988,9.07196,10.07196,0
09:41:55.932930741,09:41:55.000000000,sh603988,5.48779,6.48779,0
09:41:58.920464695,09:41:58.000000000,sh603988,-1.16785,-0.16785000000000005,0
09:42:01.923698918,09:42:01.000000000,sh603988,-4.35565,-3.35565,0
09:42:04.882616548,09:42:04.000000000,sh603988,-2.29511,-1.2951100000000002,0
09:42:07.546233044,09:42:07.000000000,sh603988,-6.64819,-5.64819,0
09:42:10.872277370,09:42:10.000000000,sh603988,-11.5344,-10.5344,0
09:42:13.875170928,09:42:13.000000000,sh603988,-15.4718,-14.4718,0
09:42:19.678449655,09:42:19.000000000,sh603988,-13.9711,-12.9711,0
09:42:25.682876374,09:42:25.000000000,sh603988,-12.3977,-11.3977,0
09:42:28.687443511,09:42:28.000000000,sh603988,-23.3115,-22.3115,0
09:42:31.685598956,09:42:31.000000000,sh603988,-20.0898,-19.0898,0
09:42:35.021273487,09:42:35.000000000,sh603988,-11.4252,-10.4252,0
09:42:38.027582932,09:42:38.000000000,sh603988,-23.4598,-22.4598,0
09:42:41.029931562,09:42:41.000000000,sh603988,-27.7395,-26.7395,0
09:42:44.029440180,09:42:44.000000000,sh603988,-23.8173,-22.8173,0
09:42:47.016056370,09:42:47.000000000,sh603988,-28.1447,-27.1447,0
09:42:50.028906163,09:42:50.000000000,sh603988,-31.037,-30.037,0
09:42:53.154910850,09:42:53.000000000,sh603988,-16.6674,-15.6674,0
09:42:56.157722896,09:42:56.000000000,sh603988,-38.6051,-37.6051,0
09:42:59.156554811,09:42:59.000000000,sh603988,-23.1822,-22.1822,0
09:43:02.141659926,09:43:02.000000000,sh603988,-13.7397,-12.7397,0
09:43:05.140513277,09:43:05.000000000,sh603988,-15.562,-14.562,0
